OCCSCHEME,OCCTYPE,OCCDESC,PSOLD_RG,PSOLD_Description,Effective,Expiration
RMS BR,40005,Stadium/Convention Center-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,40010,Stadium/Convention Center-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,40011,Stadium/Convention Center-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,50001,Light Industrial-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,50002,Light Industrial-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,50003,Light Industrial-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,50004,Light Industrial-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,50005,Light Industrial-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,50010,Light Industrial-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,50011,Light Industrial-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,60001,Heavy Industrial-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,60002,Heavy Industrial-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,60003,Heavy Industrial-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,60004,Heavy Industrial-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,60005,Heavy Industrial-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,60010,Heavy Industrial-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,60011,Heavy Industrial-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,70001,Bridge-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,70002,Bridge-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,70003,Bridge-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,70004,Bridge-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,70005,Bridge-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
